district_cd,district,industry_cd,industry_nm,year,biz_count,emp_count,region,item_category
001023,양평군,013,Real estate activites and renting and leasing,2022,1076,1539,경기도,
001023,양평군,014,Professional scientific and technical activities,2022,466,1124,경기도,전문용역/컨설팅
001023,양평군,015,Business facilities managementand business support services,2022,227,541,경기도,시설유지보수
001023,양평군,016,Public administration ; compulsory social security,2022,48,2200,경기도,
001023,양평군,017,Education,2022,577,3280,경기도,교육물품/교구
001023,양평군,018,Human health and social work activities,2022,382,5099,경기도,의료/복지용품
001023,양평군,019,Arts sports and recreation related services,2022,404,1054,경기도,
001023,양평군,020,Membership organizations repair and other personal services,2022,1071,1813,경기도,
001024,의정부시,002,Agriculture forestry and fishing,2022,1,38,경기도,
001024,의정부시,003,Mining ＆ quarrying,2022,1,47,경기도,
001024,의정부시,004,Manufacturing,2022,1851,6091,경기도,IT장비/전산
001024,의정부시,005,Electricity gas steam and water supply,2022,19,696,경기도,시설유지보수
001024,의정부시,006,Sewerage waste managementmaterials recovery and remediation activities,2022,68,650,경기도,폐기물/환경
001024,의정부시,007,Construction,2022,4172,9113,경기도,건설/공사
001024,의정부시,008,Wholesale and retail trade,2022,10952,23231,경기도,사무용품/소모품
001024,의정부시,009,Transportation,2022,4614,8188,경기도,차량/운송
001024,의정부시,010,Accommodation and food service activities,2022,5886,15602,경기도,
001024,의정부시,011,Information and communications,2022,574,1931,경기도,IT장비/전산
001024,의정부시,012,Financial and insurance activities,2022,490,4762,경기도,
001024,의정부시,013,Real estate activites and renting and leasing,2022,1820,4310,경기도,
001024,의정부시,014,Professional scientific and technical activities,2022,1400,5138,경기도,전문용역/컨설팅
001024,의정부시,015,Business facilities managementand business support services,2022,906,6246,경기도,시설유지보수
001024,의정부시,016,Public administration ; compulsory social security,2022,63,6986,경기도,
001024,의정부시,017,Education,2022,2066,12862,경기도,교육물품/교구
001024,의정부시,018,Human health and social work activities,2022,1484,22798,경기도,의료/복지용품
001024,의정부시,019,Arts sports and recreation related services,2022,1159,2740,경기도,
001024,의정부시,020,Membership organizations repair and other personal services,2022,3877,6773,경기도,
001025,동두천시,002,Agriculture forestry and fishing,2022,6,32,경기도,
001025,동두천시,003,Mining ＆ quarrying,2022,0,0,경기도,
001025,동두천시,004,Manufacturing,2022,620,4993,경기도,IT장비/전산
001025,동두천시,005,Electricity gas steam and water supply,2022,24,200,경기도,시설유지보수
001025,동두천시,006,Sewerage waste managementmaterials recovery and remediation activities,2022,48,434,경기도,폐기물/환경
001025,동두천시,007,Construction,2022,633,1805,경기도,건설/공사
001025,동두천시,008,Wholesale and retail trade,2022,2226,4127,경기도,사무용품/소모품
001025,동두천시,009,Transportation,2022,1006,1787,경기도,차량/운송
001025,동두천시,010,Accommodation and food service activities,2022,1639,3870,경기도,
001025,동두천시,011,Information and communications,2022,66,233,경기도,IT장비/전산
001025,동두천시,012,Financial and insurance activities,2022,69,747,경기도,
001025,동두천시,013,Real estate activites and renting and leasing,2022,451,866,경기도,
001025,동두천시,014,Professional scientific and technical activities,2022,160,347,경기도,전문용역/컨설팅
001025,동두천시,015,Business facilities managementand business support services,2022,186,529,경기도,시설유지보수
001025,동두천시,016,Public administration ; compulsory social security,2022,31,1501,경기도,
001025,동두천시,017,Education,2022,326,2376,경기도,교육물품/교구
001025,동두천시,018,Human health and social work activities,2022,335,5135,경기도,의료/복지용품
001025,동두천시,019,Arts sports and recreation related services,2022,223,669,경기도,
001025,동두천시,020,Membership organizations repair and other personal services,2022,1028,1613,경기도,
001026,고양시,002,Agriculture forestry and fishing,2022,64,307,경기도,
001026,고양시,003,Mining ＆ quarrying,2022,1,18,경기도,
001026,고양시,004,Manufacturing,2022,8211,33161,경기도,IT장비/전산
001026,고양시,005,Electricity gas steam and water supply,2022,172,813,경기도,시설유지보수
001026,고양시,006,Sewerage waste managementmaterials recovery and remediation activities,2022,204,2363,경기도,폐기물/환경
001026,고양시,007,Construction,2022,8066,27910,경기도,건설/공사
001026,고양시,008,Wholesale and retail trade,2022,32919,75028,경기도,사무용품/소모품
001026,고양시,009,Transportation,2022,10786,25580,경기도,차량/운송
001026,고양시,010,Accommodation and food service activities,2022,12120,35899,경기도,
001026,고양시,011,Information and communications,2022,3876,11200,경기도,IT장비/전산
001026,고양시,012,Financial and insurance activities,2022,909,7957,경기도,
001026,고양시,013,Real estate activites and renting and leasing,2022,5432,13780,경기도,
001026,고양시,014,Professional scientific and technical activities,2022,4651,15394,경기도,전문용역/컨설팅
001026,고양시,015,Business facilities managementand business support services,2022,2830,16187,경기도,시설유지보수
001026,고양시,016,Public administration ; compulsory social security,2022,113,8309,경기도,
001026,고양시,017,Education,2022,6050,31794,경기도,교육물품/교구
001026,고양시,018,Human health and social work activities,2022,3055,48335,경기도,의료/복지용품
001026,고양시,019,Arts sports and recreation related services,2022,3065,9117,경기도,
001026,고양시,020,Membership organizations repair and other personal services,2022,8877,17619,경기도,
001027,구리시,002,Agriculture forestry and fishing,2022,7,16,경기도,
001027,구리시,003,Mining ＆ quarrying,2022,0,0,경기도,
001027,구리시,004,Manufacturing,2022,1092,3640,경기도,IT장비/전산
001027,구리시,005,Electricity gas steam and water supply,2022,8,75,경기도,시설유지보수
001027,구리시,006,Sewerage waste managementmaterials recovery and remediation activities,2022,28,340,경기도,폐기물/환경
001027,구리시,007,Construction,2022,1897,4385,경기도,건설/공사
001027,구리시,008,Wholesale and retail trade,2022,6076,14160,경기도,사무용품/소모품
001027,구리시,009,Transportation,2022,2452,4452,경기도,차량/운송
001027,구리시,010,Accommodation and food service activities,2022,2566,6448,경기도,
001027,구리시,011,Information and communications,2022,527,984,경기도,IT장비/전산
001027,구리시,012,Financial and insurance activities,2022,208,2273,경기도,
001027,구리시,013,Real estate activites and renting and leasing,2022,921,2002,경기도,
001027,구리시,014,Professional scientific and technical activities,2022,1171,2795,경기도,전문용역/컨설팅
001027,구리시,015,Business facilities managementand business support services,2022,496,3999,경기도,시설유지보수
001027,구리시,016,Public administration ; compulsory social security,2022,29,2286,경기도,
001027,구리시,017,Education,2022,1035,4971,경기도,교육물품/교구
001027,구리시,018,Human health and social work activities,2022,647,9362,경기도,의료/복지용품
001027,구리시,019,Arts sports and recreation related services,2022,515,1354,경기도,
001027,구리시,020,Membership organizations repair and other personal services,2022,1760,3315,경기도,
001028,남양주시,002,Agriculture forestry and fishing,2022,41,136,경기도,
001028,남양주시,003,Mining ＆ quarrying,2022,3,6,경기도,
001028,남양주시,004,Manufacturing,2022,8040,36130,경기도,IT장비/전산
001028,남양주시,005,Electricity gas steam and water supply,2022,84,393,경기도,시설유지보수
001028,남양주시,006,Sewerage waste managementmaterials recovery and remediation activities,2022,112,1221,경기도,폐기물/환경
001028,남양주시,007,Construction,2022,4956,16827,경기도,건설/공사
001028,남양주시,008,Wholesale and retail trade,2022,20062,46579,경기도,사무용품/소모품
001028,남양주시,009,Transportation,2022,5989,11495,경기도,차량/운송
001028,남양주시,010,Accommodation and food service activities,2022,7807,21497,경기도,
001028,남양주시,011,Information and communications,2022,1246,2718,경기도,IT장비/전산
001028,남양주시,012,Financial and insurance activities,2022,269,2428,경기도,
001028,남양주시,013,Real estate activites and renting and leasing,2022,3728,7754,경기도,
001028,남양주시,014,Professional scientific and technical activities,2022,2185,5166,경기도,전문용역/컨설팅
001028,남양주시,015,Business facilities managementand business support services,2022,1588,4574,경기도,시설유지보수
001028,남양주시,016,Public administration ; compulsory social security,2022,66,5352,경기도,
001028,남양주시,017,Education,2022,3449,18679,경기도,교육물품/교구
001028,남양주시,018,Human health and social work activities,2022,1987,24045,경기도,의료/복지용품
001028,남양주시,019,Arts sports and recreation related services,2022,1528,4107,경기도,
001028,남양주시,020,Membership organizations repair and other personal services,2022,5132,8521,경기도,
001029,파주시,002,Agriculture forestry and fishing,2022,99,386,경기도,
001029,파주시,003,Mining ＆ quarrying,2022,4,50,경기도,
001029,파주시,004,Manufacturing,2022,8567,83177,경기도,IT장비/전산
001029,파주시,005,Electricity gas steam and water supply,2022,341,606,경기도,시설유지보수
001029,파주시,006,Sewerage waste managementmaterials recovery and remediation activities,2022,139,1447,경기도,폐기물/환경
001029,파주시,007,Construction,2022,5274,12972,경기도,건설/공사
001029,파주시,008,Wholesale and retail trade,2022,14132,31697,경기도,사무용품/소모품
001029,파주시,009,Transportation,2022,6611,15446,경기도,차량/운송
001029,파주시,010,Accommodation and food service activities,2022,6784,17534,경기도,
001029,파주시,011,Information and communications,2022,1547,5597,경기도,IT장비/전산
001029,파주시,012,Financial and insurance activities,2022,257,2114,경기도,
001029,파주시,013,Real estate activites and renting and leasing,2022,3793,6853,경기도,
001029,파주시,014,Professional scientific and technical activities,2022,1803,4116,경기도,전문용역/컨설팅
001029,파주시,015,Business facilities managementand business support services,2022,1326,6220,경기도,시설유지보수
001029,파주시,016,Public administration ; compulsory social security,2022,71,3092,경기도,
001029,파주시,017,Education,2022,2264,13301,경기도,교육물품/교구
001029,파주시,018,Human health and social work activities,2022,1323,16969,경기도,의료/복지용품
001029,파주시,019,Arts sports and recreation related services,2022,1404,4886,경기도,
001029,파주시,020,Membership organizations repair and other personal services,2022,3814,7015,경기도,
001031,양주시,002,Agriculture forestry and fishing,2022,39,106,경기도,
001031,양주시,003,Mining ＆ quarrying,2022,4,132,경기도,
001031,양주시,004,Manufacturing,2022,5475,31945,경기도,IT장비/전산
001031,양주시,005,Electricity gas steam and water supply,2022,123,247,경기도,시설유지보수
001031,양주시,006,Sewerage waste managementmaterials recovery and remediation activities,2022,117,1222,경기도,폐기물/환경
001031,양주시,007,Construction,2022,2473,7034,경기도,건설/공사
001031,양주시,008,Wholesale and retail trade,2022,7292,16065,경기도,사무용품/소모품
001031,양주시,009,Transportation,2022,2752,5523,경기도,차량/운송
001031,양주시,010,Accommodation and food service activities,2022,3463,8760,경기도,
001031,양주시,011,Information and communications,2022,242,466,경기도,IT장비/전산
001031,양주시,012,Financial and insurance activities,2022,90,712,경기도,
001031,양주시,013,Real estate activites and renting and leasing,2022,1501,2743,경기도,
001031,양주시,014,Professional scientific and technical activities,2022,568,1585,경기도,전문용역/컨설팅
001031,양주시,015,Business facilities managementand business support services,2022,622,2150,경기도,시설유지보수
001031,양주시,016,Public administration ; compulsory social security,2022,43,2575,경기도,
001031,양주시,017,Education,2022,979,6795,경기도,교육물품/교구
001031,양주시,018,Human health and social work activities,2022,738,10798,경기도,의료/복지용품
001031,양주시,019,Arts sports and recreation related services,2022,630,1720,경기도,
001031,양주시,020,Membership organizations repair and other personal services,2022,2095,3555,경기도,
001033,포천시,002,Agriculture forestry and fishing,2022,104,472,경기도,
001033,포천시,003,Mining ＆ quarrying,2022,16,423,경기도,
001033,포천시,004,Manufacturing,2022,8089,45969,경기도,IT장비/전산
001033,포천시,005,Electricity gas steam and water supply,2022,239,602,경기도,시설유지보수
001033,포천시,006,Sewerage waste managementmaterials recovery and remediation activities,2022,151,952,경기도,폐기물/환경
001033,포천시,007,Construction,2022,2214,5328,경기도,건설/공사
001033,포천시,008,Wholesale and retail trade,2022,5585,13507,경기도,사무용품/소모품
001033,포천시,009,Transportation,2022,2507,4383,경기도,차량/운송
001033,포천시,010,Accommodation and food service activities,2022,3633,8120,경기도,
001033,포천시,011,Information and communications,2022,100,319,경기도,IT장비/전산
001033,포천시,012,Financial and insurance activities,2022,115,1368,경기도,
001033,포천시,013,Real estate activites and renting and leasing,2022,846,1342,경기도,
001033,포천시,014,Professional scientific and technical activities,2022,400,1528,경기도,전문용역/컨설팅
001033,포천시,015,Business facilities managementand business support services,2022,518,1432,경기도,시설유지보수
001033,포천시,016,Public administration ; compulsory social security,2022,70,2651,경기도,
001033,포천시,017,Education,2022,445,4846,경기도,교육물품/교구
001033,포천시,018,Human health and social work activities,2022,488,6417,경기도,의료/복지용품
001033,포천시,019,Arts sports and recreation related services,2022,482,2808,경기도,
001033,포천시,020,Membership organizations repair and other personal services,2022,1549,2839,경기도,
001034,연천군,002,Agriculture forestry and fishing,2022,54,227,경기도,
001034,연천군,003,Mining ＆ quarrying,2022,4,55,경기도,
001034,연천군,004,Manufacturing,2022,491,2836,경기도,IT장비/전산
001034,연천군,005,Electricity gas steam and water supply,2022,402,467,경기도,시설유지보수
001034,연천군,006,Sewerage waste managementmaterials recovery and remediation activities,2022,48,479,경기도,폐기물/환경
001034,연천군,007,Construction,2022,537,2011,경기도,건설/공사
001034,연천군,008,Wholesale and retail trade,2022,1045,1960,경기도,사무용품/소모품
001034,연천군,009,Transportation,2022,4128,4571,경기도,차량/운송
001034,연천군,010,Accommodation and food service activities,2022,1031,2062,경기도,
001034,연천군,011,Information and communications,2022,31,137,경기도,IT장비/전산
001034,연천군,012,Financial and insurance activities,2022,39,308,경기도,
001034,연천군,013,Real estate activites and renting and leasing,2022,193,262,경기도,
001034,연천군,014,Professional scientific and technical activities,2022,85,280,경기도,전문용역/컨설팅
001034,연천군,015,Business facilities managementand business support services,2022,95,238,경기도,시설유지보수
001034,연천군,016,Public administration ; compulsory social security,2022,36,1790,경기도,
001034,연천군,017,Education,2022,130,1086,경기도,교육물품/교구
001034,연천군,018,Human health and social work activities,2022,157,1999,경기도,의료/복지용품
001034,연천군,019,Arts sports and recreation related services,2022,126,454,경기도,
001034,연천군,020,Membership organizations repair and other personal services,2022,484,759,경기도,
001035,가평군,002,Agriculture forestry and fishing,2022,28,165,경기도,
001035,가평군,003,Mining ＆ quarrying,2022,3,106,경기도,
001035,가평군,004,Manufacturing,2022,463,2050,경기도,IT장비/전산
001035,가평군,005,Electricity gas steam and water supply,2022,200,360,경기도,시설유지보수
001035,가평군,006,Sewerage waste managementmaterials recovery and remediation activities,2022,34,367,경기도,폐기물/환경
001035,가평군,007,Construction,2022,1007,2895,경기도,건설/공사
001035,가평군,008,Wholesale and retail trade,2022,1738,3510,경기도,사무용품/소모품
001035,가평군,009,Transportation,2022,366,853,경기도,차량/운송
001035,가평군,010,Accommodation and food service activities,2022,3465,8330,경기도,
001035,가평군,011,Information and communications,2022,88,265,경기도,IT장비/전산
001035,가평군,012,Financial and insurance activities,2022,46,449,경기도,
001035,가평군,013,Real estate activites and renting and leasing,2022,383,659,경기도,
001035,가평군,014,Professional scientific and technical activities,2022,218,648,경기도,전문용역/컨설팅
001035,가평군,015,Business facilities managementand business support services,2022,146,579,경기도,시설유지보수
001035,가평군,016,Public administration ; compulsory social security,2022,31,1777,경기도,
001035,가평군,017,Education,2022,253,2004,경기도,교육물품/교구
001035,가평군,018,Human health and social work activities,2022,218,2741,경기도,의료/복지용품
001035,가평군,019,Arts sports and recreation related services,2022,338,2117,경기도,
001035,가평군,020,Membership organizations repair and other personal services,2022,633,1525,경기도,
001036,여주시,002,Agriculture forestry and fishing,2022,136,747,경기도,
001036,여주시,003,Mining ＆ quarrying,2022,10,63,경기도,
001036,여주시,004,Manufacturing,2022,1595,9344,경기도,IT장비/전산
001036,여주시,005,Electricity gas steam and water supply,2022,492,582,경기도,시설유지보수
001036,여주시,006,Sewerage waste managementmaterials recovery and remediation activities,2022,74,551,경기도,폐기물/환경
001036,여주시,007,Construction,2022,1128,3892,경기도,건설/공사
001036,여주시,008,Wholesale and retail trade,2022,3227,7554,경기도,사무용품/소모품
001036,여주시,009,Transportation,2022,6244,9764,경기도,차량/운송
001036,여주시,010,Accommodation and food service activities,2022,2127,5295,경기도,
001036,여주시,011,Information and communications,2022,95,242,경기도,IT장비/전산
001036,여주시,012,Financial and insurance activities,2022,79,677,경기도,
001036,여주시,013,Real estate activites and renting and leasing,2022,590,1049,경기도,
001036,여주시,014,Professional scientific and technical activities,2022,286,1352,경기도,전문용역/컨설팅
001036,여주시,015,Business facilities managementand business support services,2022,347,2381,경기도,시설유지보수
001036,여주시,016,Public administration ; compulsory social security,2022,59,2515,경기도,
001036,여주시,017,Education,2022,409,3077,경기도,교육물품/교구
001036,여주시,018,Human health and social work activities,2022,373,5396,경기도,의료/복지용품
001036,여주시,019,Arts sports and recreation related services,2022,357,3172,경기도,
001036,여주시,020,Membership organizations repair and other personal services,2022,1152,2293,경기도,
001038,남부,002,Agriculture forestry and fishing,2022,1248,6357,경기도,
001038,남부,003,Mining ＆ quarrying,2022,74,773,경기도,
001038,남부,004,Manufacturing,2022,144455,1137635,경기도,IT장비/전산
001038,남부,005,Electricity gas steam and water supply,2022,4147,10980,경기도,시설유지보수
001038,남부,006,Sewerage waste managementmaterials recovery and remediation activities,2022,2688,25415,경기도,폐기물/환경
001038,남부,007,Construction,2022,84590,314167,경기도,건설/공사
001038,남부,008,Wholesale and retail trade,2022,274975,662171,경기도,사무용품/소모품
001038,남부,009,Transportation,2022,127046,258084,경기도,차량/운송
001038,남부,010,Accommodation and food service activities,2022,133782,370674,경기도,
001038,남부,011,Information and communications,2022,26027,160475,경기도,IT장비/전산
001038,남부,012,Financial and insurance activities,2022,7654,80966,경기도,
001038,남부,013,Real estate activites and renting and leasing,2022,64254,141941,경기도,
001038,남부,014,Professional scientific and technical activities,2022,42811,324938,경기도,전문용역/컨설팅
001038,남부,015,Business facilities managementand business support services,2022,26340,230636,경기도,시설유지보수
001038,남부,016,Public administration ; compulsory social security,2022,1401,111727,경기도,
001038,남부,017,Education,2022,50457,309923,경기도,교육물품/교구
001038,남부,018,Human health and social work activities,2022,29127,387335,경기도,의료/복지용품
001038,남부,019,Arts sports and recreation related services,2022,27131,85420,경기도,
001038,남부,020,Membership organizations repair and other personal services,2022,80032,152576,경기도,
001039,북부,002,Agriculture forestry and fishing,2022,443,1885,경기도,
001039,북부,003,Mining ＆ quarrying,2022,36,837,경기도,
001039,북부,004,Manufacturing,2022,42899,249992,경기도,IT장비/전산
001039,북부,005,Electricity gas steam and water supply,2022,1612,4459,경기도,시설유지보수
001039,북부,006,Sewerage waste managementmaterials recovery and remediation activities,2022,949,9475,경기도,폐기물/환경
001039,북부,007,Construction,2022,31229,90280,경기도,건설/공사
001039,북부,008,Wholesale and retail trade,2022,102027,229864,경기도,사무용품/소모품
001039,북부,009,Transportation,2022,41211,82278,경기도,차량/운송
001039,북부,010,Accommodation and food service activities,2022,48394,128122,경기도,
001039,북부,011,Information and communications,2022,8297,23850,경기도,IT장비/전산
001039,북부,012,Financial and insurance activities,2022,2492,23118,경기도,
001039,북부,013,Real estate activites and renting and leasing,2022,19068,40571,경기도,
001039,북부,014,Professional scientific and technical activities,2022,12641,36997,경기도,전문용역/컨설팅
001039,북부,015,Business facilities managementand business support services,2022,8713,42154,경기도,시설유지보수
001039,북부,016,Public administration ; compulsory social security,2022,553,36319,경기도,
001039,북부,017,Education,2022,16997,98714,경기도,교육물품/교구
001039,북부,018,Human health and social work activities,2022,10432,148599,경기도,의료/복지용품
001039,북부,019,Arts sports and recreation related services,2022,9470,29972,경기도,
001039,북부,020,Membership organizations repair and other personal services,2022,29249,53534,경기도,
