미매핑 학교명 전체 (5572개)
구례여자중학교: 30건
목포대성초등학교: 30건
군산아리울초등학교: 30건
곡성중학교: 30건
낙동초등학교: 29건
대방초등학교: 29건
용지초등학교: 29건
압구정고등학교: 29건
동덕여자고등학교: 29건
중경고등학교: 29건
중동고등학교: 29건
동백초등학교: 29건
대곡중학교: 29건
서일고등학교: 29건
초당초등학교: 29건
군산고등학교: 29건
군산제일고등학교: 29건
남원국악예술고등학교: 29건
수소에너지고등학교: 29건
유일여자고등학교: 29건
이리공업고등학교: 29건
이일여자고등학교: 29건
익산고등학교: 29건
전주성심여자고등학교: 29건
군산남중학교: 29건
군산산북초등학교: 29건
김제검산초등학교: 29건
행안초등학교: 29건
이리고현초등학교: 29건
이리남창초등학교: 29건
이리북초등학교: 29건
정우초등학교: 29건
군산동원중학교: 29건
정읍초등학교: 29건
전주오송초등학교: 29건
순천효산고등학교: 29건
여양고등학교: 29건
목포정명여자중학교: 29건
목포동초등학교: 29건
화순만연초등학교: 29건
목포용해초등학교: 29건
죽림초등학교: 29건
인화초등학교: 29건
이리유치원: 29건
익산맑은샘유치원: 29건
전주푸른샘유치원: 29건
군산금빛초등학교: 29건
덕원여자고등학교: 28건
부일외국어고등학교: 28건
신현중학교: 28건
전주중앙여자고등학교: 28건
강진고등학교: 28건
능주고등학교: 28건
금빛초등학교: 28건
목포백련초등학교: 28건
신대초등학교: 28건
계성고등학교: 28건
염광고등학교: 28건
용산고등학교: 28건
진선여자고등학교: 28건
고명외식고등학교: 28건
염광메디텍고등학교: 28건
보인중학교: 28건
문현고등학교: 28건
금성고등학교: 28건
대명여자고등학교: 28건
용산초등학교: 28건
양덕여자중학교: 28건
감천초등학교: 28건
장산초등학교: 28건
구암고등학교: 28건
백석고등학교: 28건
성덕중학교: 28건
계룡디지텍고등학교: 28건
대덕소프트웨어마이스터고등학교: 28건
중일고등학교: 28건
고양외국어고등학교: 28건
성일중학교: 28건
세마고등학교: 28건
경포고등학교: 28건
속초여자고등학교: 28건
군산영광여자고등학교: 28건
순창제일고등학교: 28건
이리고등학교: 28건
정읍고등학교: 28건
군산진포중학교: 28건
김제중학교: 28건
김제동초등학교: 28건
김제중앙초등학교: 28건
이리북일초등학교: 28건
이리신동초등학교: 28건
전주덕일중학교: 28건
전주호성중학교: 28건
전주기린초등학교: 28건
전주만성초등학교: 28건
전주북초등학교: 28건
전주삼천초등학교: 28건
전주서신초등학교: 28건
전주인봉초등학교: 28건
전주화산초등학교: 28건
샘고을중학교: 28건
내장초등학교: 28건
정읍동초등학교: 28건
전주용흥중학교: 28건
전주만수초등학교: 28건
나주상업고등학교: 28건
순천공업고등학교: 28건
순천효천고등학교: 28건
강진중학교: 28건
구례북초등학교: 28건
목포서해초등학교: 28건
신기초등학교: 28건
영천초등학교: 28건
고양국제고등학교: 28건
전주풍남유치원: 28건
전주유치원: 28건
전주자연초등학교: 28건
배정고등학교: 28건
성원고등학교: 28건
양현고등학교: 28건
동천초등학교: 27건
백석중학교: 27건
장성고등학교: 27건
진남초등학교: 27건
건국대학교사범대학부속고등학교: 27건
경신고등학교: 27건
상명고등학교: 27건
청량고등학교: 27건
청원여자고등학교: 27건
서일문화예술고등학교: 27건
전일중학교: 27건
신서고등학교: 27건
동아고등학교: 27건
남산중학교: 27건
주양초등학교: 27건
중리중학교: 27건
문산중학교: 27건
청란여자고등학교: 27건
대덕중학교: 27건
행신고등학교: 27건
완산여자고등학교: 27건
원광보건고등학교: 27건
전주기전여자고등학교: 27건
전주상업정보고등학교: 27건
군산구암초등학교: 27건
동국대학교사범대학부속금산중학교: 27건
월촌초등학교: 27건
부안초등학교: 27건
전주신일중학교: 27건
전주덕진초등학교: 27건
전주동신초등학교: 27건
전주인후초등학교: 27건
전주풍남초등학교: 27건
정읍수성초등학교: 27건
전주은화학교: 27건
전주용소초등학교: 27건
강진여자중학교: 27건
광영초등학교: 27건
목포이로초등학교: 27건
목포애향초등학교: 27건
순천팔마고등학교: 27건
용남초등학교: 27건
전주교육대학교군산부설초등학교: 27건
오룡초등학교: 27건
전주온빛중학교: 27건
목포부주초등학교: 27건
전주새연초등학교: 27건
대연고등학교: 26건
명지초등학교: 26건
양덕초등학교: 26건
호암초등학교: 26건
완산고등학교: 26건
녹동고등학교: 26건
창평고등학교: 26건
군산우리별유치원: 26건
한국과학기술원부설한국과학영재학교: 26건
군산도담유치원: 26건
영동일고등학교: 26건
영일고등학교: 26건
대경생활과학고등학교: 26건
상현중학교: 26건
서연중학교: 26건
경일중학교: 26건
강동중학교: 26건
하남초등학교: 26건
광남초등학교: 26건
용문초등학교: 26건
세일고등학교: 26건
신창중학교: 26건
진건고등학교: 26건
속초해랑중학교: 26건
화천초등학교: 26건
군산동고등학교: 26건
군산여자상업고등학교: 26건
전주해성고등학교: 26건
고창초등학교: 26건
흥덕초등학교: 26건
군산서해초등학교: 26건
군산수송초등학교: 26건
당북초등학교: 26건
한들중학교: 26건
공덕초등학교: 26건
남원중학교: 26건
이리북중학교: 26건
이리모현초등학교: 26건
이리부천초등학교: 26건
익산초등학교: 26건
서전주중학교: 26건
전주서신중학교: 26건
전주금암초등학교: 26건
전주반월초등학교: 26건
전주장동초등학교: 26건
전주효문초등학교: 26건
전주효자초등학교: 26건
정일중학교: 26건
전주용와초등학교: 26건
순천미래과학고등학교: 26건
녹동중학교: 26건
목포유달중학교: 26건
목포제일중학교: 26건
목포항도여자중학교: 26건
영흥중학교: 26건
목포용호초등학교: 26건
여도중학교: 26건
목포옥암중학교: 26건
남악중학교: 26건
목포애향중학교: 26건
목포영산초등학교: 26건
전주온빛초등학교: 26건
전주하가초등학교: 26건
익산가온초등학교: 26건
무안행복초등학교: 26건
이리남성여자고등학교: 26건
언남고등학교: 25건
동성초등학교: 25건
백산초등학교: 25건
예원초등학교: 25건
광양중진초등학교: 25건
금호초등학교: 25건
전라남도교육청유아교육진흥원: 25건
매성고등학교: 25건
오류고등학교: 25건
한가람고등학교: 25건
인덕과학기술고등학교: 25건
강북중학교: 25건
기장고등학교: 25건
브니엘예술고등학교: 25건
남산초등학교: 25건
반송여자중학교: 25건
신정고등학교: 25건
호평고등학교: 25건
설온중학교: 25건
우석고등학교: 25건
원광여자고등학교: 25건
전주생명과학고등학교: 25건
진경여자고등학교: 25건
군산중학교: 25건
군산동초등학교: 25건
군산월명초등학교: 25건
남원한빛중학교: 25건
원광여자중학교: 25건
이리남중학교: 25건
이리영등중학교: 25건
익산지원중학교: 25건
이리동남초등학교: 25건
이리동북초등학교: 25건
이리부송초등학교: 25건
익산어양초등학교: 25건
이리영등초등학교: 25건
전주기린중학교: 25건
전라중학교: 25건
전주동중학교: 25건
전주풍남중학교: 25건
전주금평초등학교: 25건
전주삼천남초등학교: 25건
전주신동초등학교: 25건
전주아중초등학교: 25건
전주양지초등학교: 25건
전주한들초등학교: 25건
전주평화중학교: 25건
익산어양중학교: 25건
익산부송중학교: 25건
익산한벌초등학교: 25건
목포한빛초등학교: 25건
순천세빛중학교: 25건
순천남산초등학교: 25건
목포하당중학교: 25건
안산중학교: 25건
순천왕운초등학교: 25건
전주오송중학교: 25건
은빛초등학교: 25건
온샘유치원: 25건
전주화정초등학교: 25건
전주양현초등학교: 25건
전주성현유치원: 25건
전주만성중학교: 25건
군산가람유치원: 25건
율곡초등학교: 25건
함열여자고등학교: 25건
동인고등학교: 24건
도초고등학교: 24건
강서고등학교: 24건
둔촌고등학교: 24건
마포고등학교: 24건
은평메디텍고등학교: 24건
혜성여자고등학교: 24건
한성과학고등학교: 24건
예일디자인고등학교: 24건
개원중학교: 24건
구룡중학교: 24건
경서중학교: 24건
성남중학교: 24건
건국고등학교: 24건
사직여자고등학교: 24건
부흥중학교: 24건
신진초등학교: 24건
금명여자고등학교: 24건
명호고등학교: 24건
신정중학교: 24건
성서중학교: 24건
경운중학교: 24건
성산고등학교: 24건
강동고등학교: 24건
문성중학교: 24건
백양고등학교: 24건
삼일고등학교: 24건
금오중학교: 24건
병점고등학교: 24건
능동중학교: 24건
신길고등학교: 24건
강일여자고등학교: 24건
동해광희고등학교: 24건
설악고등학교: 24건
영랑초등학교: 24건
봉래초등학교: 24건
군산기계공업고등학교: 24건
이리여자고등학교: 24건
군산산북중학교: 24건
대야초등학교: 24건
금성중학교: 24건
남원초등학교: 24건
부안동초등학교: 24건
창북초등학교: 24건
원광중학교: 24건
이리백제초등학교: 24건
이리송학초등학교: 24건
이리초등학교: 24건
전주덕진중학교: 24건
전주솔빛중학교: 24건
전주양지중학교: 24건
전주완산서초등학교: 24건
전주우전초등학교: 24건
전주중산초등학교: 24건
전주중앙초등학교: 24건
전주선화학교: 24건
익산궁동초등학교: 24건
전주여울초등학교: 24건
전주아중중학교: 24건
전주대정초등학교: 24건
군산금강중학교: 24건
익산부천중학교: 24건
구례고등학교: 24건
목포마리아회고등학교: 24건
함평고등학교: 24건
목포중앙여자중학교: 24건
목포서부초등학교: 24건
목포하당초등학교: 24건
순천이수중학교: 24건
목포미항초등학교: 24건
삼계초등학교: 24건
성산초등학교: 24건
삼양초등학교: 24건
신도고등학교: 24건
정관고등학교: 24건
부곡고등학교: 24건
전주우림중학교: 24건
다솜학교: 24건
군산미장초등학교: 24건
광양와우초등학교: 24건
우신중학교: 24건
송운초등학교: 23건
광양마동초등학교: 23건
광양백운초등학교: 23건
중동초등학교: 23건
모전초등학교: 23건
경복여자고등학교: 23건
관악고등학교: 23건
상문고등학교: 23건
수도여자고등학교: 23건
양재고등학교: 23건
혜화여자고등학교: 23건
동양고등학교: 23건
유한공업고등학교: 23건
방배중학교: 23건
수서중학교: 23건
예일초등학교: 23건
광남중학교: 23건
남성여자고등학교: 23건
동해중학교: 23건
모산초등학교: 23건
와석초등학교: 23건
하남중학교: 23건
동백중학교: 23건
장산중학교: 23건
동암중학교: 23건
천곡중학교: 23건
산정초등학교: 23건
문정여자고등학교: 23건
경일관광경영고등학교: 23건
고잔고등학교: 23건
송림고등학교: 23건
여강고등학교: 23건
분당영덕여자고등학교: 23건
풍생중학교: 23건
매홀중학교: 23건
구봉초등학교: 23건
성포고등학교: 23건
강릉제일고등학교: 23건
북평고등학교: 23건
속초고등학교: 23건
강릉해람중학교: 23건
노암초등학교: 23건
하랑중학교: 23건
속초초등학교: 23건
사내초등학교: 23건
강릉오성학교: 23건
속초청해학교: 23건
한국전통문화고등학교: 23건
남원교룡초등학교: 23건
남원월락초등학교: 23건
순창중앙초등학교: 23건
이리동산초등학교: 23건
이리동초등학교: 23건
이리마한초등학교: 23건
이리서초등학교: 23건
이리팔봉초등학교: 23건
전주우아중학교: 23건
전주기전중학교: 23건
전주서중학교: 23건
전주서문초등학교: 23건
전주서일초등학교: 23건
전주송북초등학교: 23건
전주신성초등학교: 23건
전주완산초등학교: 23건
전주용덕초등학교: 23건
전주전일초등학교: 23건
전주초등학교: 23건
전주평화초등학교: 23건
전주서곡중학교: 23건
군산진포초등학교: 23건
군산동산중학교: 23건
익산옥야초등학교: 23건
목포중앙고등학교: 23건
삼계부사관고등학교: 23건
광양중마초등학교: 23건
목포대연초등학교: 23건
목포삼학초등학교: 23건
목포상동초등학교: 23건
목포청호초등학교: 23건
순천금당중학교: 23건
순천연향중학교: 23건
순천조례초등학교: 23건
영암초등학교: 23건
대기고등학교: 23건
월랑초등학교: 23건
동패고등학교: 23건
저현고등학교: 23건
전주유화학교: 23건
한울학교: 23건
군산푸른솔초등학교: 23건
순천율산유치원: 23건
오룡중학교: 23건
전주홍산초등학교: 23건
전주아름유치원: 23건
군산용문초등학교: 23건
다선초등학교: 22건
숭덕고등학교: 22건
남양초등학교: 22건
동국대학교사범대학부속가람고등학교: 22건
반포고등학교: 22건
영등포여자고등학교: 22건
영신고등학교: 22건
혜원여자고등학교: 22건
신월중학교: 22건
북악중학교: 22건
양운고등학교: 22건
신평초등학교: 22건
대진고등학교: 22건
금호중앙여자고등학교: 22건
서강고등학교: 22건
운남초등학교: 22건
상일여자고등학교: 22건
흥도초등학교: 22건
안중고등학교: 22건
인창고등학교: 22건
관동중학교: 22건
금광초등학교: 22건
인제초등학교: 22건
회현초등학교: 22건
전주덕일초등학교: 22건
전주서천초등학교: 22건
전주진북초등학교: 22건
전주초포초등학교: 22건
전주문학초등학교: 22건
여수석유화학고등학교: 22건
영암고등학교: 22건
해룡고등학교: 22건
광양마로초등학교: 22건
목포부영초등학교: 22건
목포산정초등학교: 22건
목포연산초등학교: 22건
순천남산중학교: 22건
순천매산중학교: 22건
순천신흥초등학교: 22건
순천용당초등학교: 22건
여천초등학교: 22건
삼호중학교: 22건
정동초등학교: 22건
매안초등학교: 22건
광양용강중학교: 22건
빛누리초등학교: 22건
순천정원유치원: 22건
전주화정중학교: 22건
성일여자고등학교: 21건
현곡초등학교: 21건
불로중학교: 21건
장유고등학교: 21건
용마초등학교: 21건
송현유치원: 21건
김해모산초등학교: 21건
명지꿈자람유치원: 21건
배문고등학교: 21건
용화여자고등학교: 21건
성덕고등학교: 21건
미림마이스터고등학교: 21건
서운중학교: 21건
등명중학교: 21건
대방중학교: 21건
광명고등학교: 21건
다대고등학교: 21건
덕문여자고등학교: 21건
해운대고등학교: 21건
대평중학교: 21건
월서중학교: 21건
인명여자고등학교: 21건
살레시오고등학교: 21건
양산중학교: 21건
호계중학교: 21건
문산수억고등학교: 21건
성보경영고등학교: 21건
동광고등학교: 21건
중부초등학교: 21건
예당고등학교: 21건
강릉문성고등학교: 21건
강릉여자고등학교: 21건
북평여자고등학교: 21건
군산경포초등학교: 21건
이리동중학교: 21건
전주남초등학교: 21건
전주송원초등학교: 21건
전주조촌초등학교: 21건
고부초등학교: 21건
고흥고등학교: 21건
여수공업고등학교: 21건
문향고등학교: 21건
광양골약중학교: 21건
광양가야초등학교: 21건
