district,age_group,male_cnt,feml_cnt,total_cnt
서대문구,0~9세,5727,5458,11185
서대문구,10대,6941,6939,13880
서대문구,20대,10556,11080,21636
서대문구,30대,11581,12201,23782
서대문구,40대,13324,13493,26817
서대문구,50대,14205,15032,29237
서대문구,60대,11744,13140,24884
서대문구,70대,6252,8219,14471
서대문구,80대,3067,4981,8048
서대문구,90세이상,266,688,954
양천구,0~9세,12580,11890,24470
양천구,10대,24235,22300,46535
양천구,20대,25226,25027,50253
양천구,30대,24928,25403,50331
양천구,40대,33389,36651,70040
양천구,50대,35349,36203,71552
양천구,60대,28246,30953,59199
양천구,70대,14380,16230,30610
양천구,80대,4740,7285,12025
양천구,90세이상,408,1444,1852
강서구,0~9세,9397,9027,18424
강서구,10대,12019,11078,23097
강서구,20대,21330,24704,46034
강서구,30대,28573,28017,56590
강서구,40대,25511,24627,50138
강서구,50대,23177,24260,47437
강서구,60대,20528,23918,44446
강서구,70대,11115,12826,23941
강서구,80대,3768,5741,9509
강서구,90세이상,356,1048,1404
구로구,0~9세,11353,10758,22111
구로구,10대,14211,13725,27936
구로구,20대,23583,25489,49072
구로구,30대,30244,29467,59711
구로구,40대,29251,28118,57369
구로구,50대,29812,30616,60428
구로구,60대,26900,30261,57161
구로구,70대,15692,18127,33819
구로구,80대,5940,8296,14236
구로구,90세이상,437,1231,1668
금천구,0~9세,4996,4805,9801
금천구,10대,6516,6356,12872
금천구,20대,16883,18097,34980
금천구,30대,20901,17052,37953
금천구,40대,15782,13708,29490
금천구,50대,18828,18656,37484
금천구,60대,17937,18420,36357
금천구,70대,8935,10253,19188
금천구,80대,3423,4897,8320
금천구,90세이상,262,716,978
동작구,0~9세,8642,8199,16841
동작구,10대,11628,11139,22767
동작구,20대,27444,29496,56940
동작구,30대,27185,26005,53190
동작구,40대,23822,23873,47695
동작구,50대,24418,25852,50270
동작구,60대,20817,24155,44972
동작구,70대,11886,15285,27171
동작구,80대,5327,7346,12673
동작구,90세이상,462,1179,1641
서초구,0~9세,9673,9208,18881
서초구,10대,15259,14897,30156
서초구,20대,15886,17771,33657
서초구,30대,17554,20826,38380
서초구,40대,22413,26282,48695
서초구,50대,21678,21823,43501
서초구,60대,14690,16717,31407
서초구,70대,8834,10477,19311
서초구,80대,3601,4351,7952
서초구,90세이상,362,797,1159
강동구,0~9세,10457,9703,20160
강동구,10대,14129,12277,26406
강동구,20대,20007,21559,41566
강동구,30대,25048,25191,50239
강동구,40대,26194,26281,52475
강동구,50대,25311,26028,51339
강동구,60대,23426,26135,49561
강동구,70대,12464,13814,26278
강동구,80대,4134,5725,9859
강동구,90세이상,309,1059,1368
