school_name,candidates
반송중학교,"반송중학교(부산광역시교육청), 반송중학교(경기도교육청), 반송중학교(경상남도교육청)"
평산초등학교,"평산초등학교(울산광역시교육청), 평산초등학교(경상북도교육청), 평산초등학교(경상남도교육청), 평산초등학교(경상남도교육청)"
가좌고등학교,"가좌고등학교(인천광역시교육청), 가좌고등학교(경기도교육청)"
남성중학교,"남성중학교(서울특별시교육청), 남성중학교(충청북도교육청), 남성중학교(전북특별자치도교육청)"
영산고등학교,"영산고등학교(부산광역시교육청), 영산고등학교(전라남도교육청), 영산고등학교(경상남도교육청)"
금곡고등학교,"금곡고등학교(부산광역시교육청), 금곡고등학교(경기도교육청)"
대성고등학교,"대성고등학교(서울특별시교육청), 대성고등학교(강원특별자치도교육청)"
대청중학교,"대청중학교(서울특별시교육청), 대청중학교(부산광역시교육청), 대청중학교(인천광역시교육청), 대청중학교(경상남도교육청)"
금성초등학교,"금성초등학교(서울특별시교육청), 금성초등학교(부산광역시교육청), 금성초등학교(대전광역시교육청), 금성초등학교(경기도교육청), 금성초등학교(충청북도교육청), 금성초등학교(충청남도교육청), 금성초등학교(충청남도교육청), 금성초등학교(전라남도교육청), 금성초등학교(전라남도교육청)"
경일고등학교,"경일고등학교(서울특별시교육청), 경일고등학교(부산광역시교육청), 경일고등학교(경기도교육청), 경일고등학교(경상북도교육청)"
동평중학교,"동평중학교(부산광역시교육청), 동평중학교(대구광역시교육청), 동평중학교(울산광역시교육청)"
강동초등학교,"강동초등학교(부산광역시교육청), 강동초등학교(울산광역시교육청), 강동초등학교(강원특별자치도교육청), 강동초등학교(경상북도교육청)"
문산초등학교,"문산초등학교(광주광역시교육청), 문산초등학교(경기도교육청), 문산초등학교(경상남도교육청)"
유성여자고등학교,"유성여자고등학교(대전광역시교육청), 유성여자고등학교(경상북도교육청)"
수정초등학교,"수정초등학교(부산광역시교육청), 수정초등학교(충청북도교육청), 수정초등학교(충청남도교육청), 수정초등학교(경상남도교육청)"
명호초등학교,"명호초등학교(부산광역시교육청), 명호초등학교(경상북도교육청)"
부흥고등학교,"부흥고등학교(부산광역시교육청), 부흥고등학교(경기도교육청)"
용인고등학교,"용인고등학교(부산광역시교육청), 용인고등학교(경기도교육청)"
도산초등학교,"도산초등학교(광주광역시교육청), 도산초등학교(울산광역시교육청), 도산초등학교(충청남도교육청), 도산초등학교(경상북도교육청), 도산초등학교(경상남도교육청), 도산초등학교(경상남도교육청)"
산내초등학교,"산내초등학교(대전광역시교육청), 산내초등학교(경기도교육청), 산내초등학교(전북특별자치도교육청), 산내초등학교(경상남도교육청)"
영광고등학교,"영광고등학교(전라남도교육청), 영광고등학교(경상북도교육청)"
한빛고등학교,"한빛고등학교(경기도교육청), 한빛고등학교(전라남도교육청)"
지산고등학교,"지산고등학교(부산광역시교육청), 지산고등학교(경기도교육청)"
연제초등학교,"연제초등학교(부산광역시교육청), 연제초등학교(광주광역시교육청)"
반송초등학교,"반송초등학교(부산광역시교육청), 반송초등학교(경기도교육청), 반송초등학교(경상남도교육청)"
유천초등학교,"유천초등학교(강원특별자치도교육청), 유천초등학교(경상북도교육청), 유천초등학교(경상북도교육청)"
운산초등학교,"운산초등학교(부산광역시교육청), 운산초등학교(경기도교육청), 운산초등학교(강원특별자치도교육청), 운산초등학교(충청남도교육청)"
수성고등학교,"수성고등학교(대구광역시교육청), 수성고등학교(경기도교육청)"
대광고등학교,"대광고등학교(서울특별시교육청), 대광고등학교(부산광역시교육청)"
한영고등학교,"한영고등학교(서울특별시교육청), 한영고등학교(전라남도교육청)"
용산중학교,"용산중학교(서울특별시교육청), 용산중학교(대구광역시교육청)"
덕천초등학교,"덕천초등학교(부산광역시교육청), 덕천초등학교(경기도교육청), 덕천초등학교(전북특별자치도교육청)"
금호고등학교,"금호고등학교(서울특별시교육청), 금호고등학교(광주광역시교육청)"
