district,district_profile,item_category,bid_count,amount_sum,amount_mean,latest_posted_date,count_score,amount_score,recency_score,opportunity_score,recommendation_flag,avg_lead_time_days,rank
강남구,업무지구/고소득/IT,폐기물/환경,68,353494731759.0,5198451937.632353,2026-03-19 13:51:52,0.6146788990825688,1.0,0.46875,70.11,제외,7.1,1
강남구,업무지구/고소득/IT,시설유지보수,86,25275197700.0,293897647.6744186,2026-04-20 16:09:37,0.7798165137614679,0.07145737398459949,0.9375,59.88,추천,6.8,2
강남구,업무지구/고소득/IT,행사/운영용역,66,35862815220.0,543375988.1818181,2026-04-10 15:20:08,0.5963302752293578,0.10141005246686269,0.7142857142857143,47.14,추천,10.5,3
강남구,업무지구/고소득/IT,건설/공사,35,16434140000.0,469546857.14285713,2026-04-17 09:52:20,0.3119266055045872,0.04644576412704607,0.8333333333333334,33.66,제외,6.5,4
강남구,업무지구/고소득/IT,전문용역/컨설팅,22,3313096000.0,150595272.72727272,2026-04-21 16:12:42,0.1926605504587156,0.009325948310009578,0.9677419354838709,29.27,추천,9.8,5
강동구,주거/강변/문화,행사/운영용역,24,5827523000.0,242813458.33333334,2026-04-21 13:06:54,0.21100917431192662,0.01643933556222698,0.9677419354838709,30.4,추천,40.8,1
강동구,주거/강변/문화,시설유지보수,16,8367610000.0,522975625.0,2026-04-21 15:31:38,0.13761467889908258,0.02362531570216468,0.9677419354838709,26.94,추천,14.1,2
강동구,주거/강변/문화,IT장비/전산,11,4126407570.0,375127960.90909094,2026-04-20 08:45:09,0.09174311926605505,0.011626830441055306,0.9090909090909091,23.12,추천,9.5,3
강동구,주거/강변/문화,청소/환경미화,4,723997080.0,180999270.0,2026-04-22 16:25:57,0.027522935779816515,0.002001312020207631,1.0,21.44,데이터부족,6.5,4
강동구,주거/강변/문화,의료/복지용품,1,24816000.0,24816000.0,2026-04-17 08:53:28,0.0,2.330837108057588e-05,0.8333333333333334,16.67,데이터부족,11.0,5
강북구,주거/서민/교육,행사/운영용역,22,3166150000.0,143915909.0909091,2026-04-13 16:43:51,0.1926605504587156,0.008910233794072412,0.7692307692307692,25.28,추천,9.1,1
강북구,주거/서민/교육,시설유지보수,25,5605175788.0,224207031.52,2026-04-06 10:49:02,0.22018348623853212,0.015810308820386042,0.6382978723404256,24.25,추천,10.3,2
