district,district_profile,item_category,bid_count,amount_sum,amount_mean,latest_posted_date,count_score,amount_score,recency_score,opportunity_score,recommendation_flag,avg_lead_time_days,population,households,bids_per_10k_population,bids_per_10k_households,amount_per_10k_population,amount_per_10k_households
강북구,주거/서민/교육,IT장비/전산,10,1682985000.0,168298500.0,2026-04-17 16:43:12,0.08256880733944955,0.004714316790343523,0.8571428571428571,21.41,추천,10.3,297441,139082,0.3362,0.719,56582145.7028,121006672.3228
광진구,대학/강변/상업,폐기물/환경,24,16888331000.0,703680458.3333334,2026-03-18 14:58:32,0.21100917431192662,0.047730683700957684,0.46153846153846145,21.21,제외,5.3,342481,162039,0.7008,1.4811,493117311.6173,1042238658.5945
동작구,대학/주거/공원,폐기물/환경,14,18196674000.0,1299762428.5714285,2026-04-07 16:45:08,0.11926605504587157,0.05143202417245591,0.6666666666666666,20.84,제외,7.1,380584,178302,0.3679,0.7852,478125039.4131,1020553555.2041
동작구,대학/주거/공원,시설유지보수,37,24164081431.0,653083281.918919,2025-07-16 13:23:42,0.3302752293577982,0.06831399368219424,0.0967741935483871,20.5,추천,16.2,380584,178302,0.9722,2.0751,634921106.2735,1355233336.1936
중구,도심/관광/명동,조경/녹지관리,14,1603972020.0,114569430.0,2026-04-10 13:17:37,0.11926605504587157,0.004490786767522535,0.7142857142857143,20.38,추천,5.1,120892,61208,1.1581,2.2873,132678094.4976,262052676.1208
광진구,대학/강변/상업,행사/운영용역,22,6897205800.0,313509354.54545456,2026-03-24 06:19:48,0.1926605504587156,0.019465499373479488,0.5,20.22,추천,17.0,342481,162039,0.6424,1.3577,201389443.502,425650972.9139
금천구,제조/산업단지/중소기업,전문용역/컨설팅,8,1927700000.0,240962500.0,2026-04-16 20:46:38,0.06422018348623854,0.005406622656223257,0.8333333333333334,20.04,데이터부족,9.5,229348,113402,0.3488,0.7055,84051310.672,169988183.6299
종로구,공공기관/전통상권/관광,전문용역/컨설팅,11,654680000.0,59516363.63636363,2026-04-13 15:49:19,0.09174311926605505,0.0018052119810205982,0.7692307692307692,20.03,추천,13.7,141990,66939,0.7747,1.6433,46107472.3572,97802476.8819
광진구,대학/강변/상업,IT장비/전산,18,7166276170.0,398126453.8888889,2026-03-30 14:29:54,0.1559633027522936,0.020226707290793223,0.5660377358490566,19.73,추천,10.2,342481,162039,0.5256,1.1108,209245948.5344,442256257.4442
강서구,공항/산업단지/주거,건설/공사,29,25208821018.0,869269690.2758621,2026-01-14 13:04:13,0.25688073394495414,0.07126959241703627,0.234375,19.67,제외,9.7,571154,259024,0.5077,1.1196,441366444.3915,973223369.958
은평구,주거/문화/뉴타운,행사/운영용역,6,6149521000.0,1024920166.6666666,2026-04-16 16:00:17,0.045871559633027525,0.0173502772870969,0.8333333333333334,19.48,데이터부족,8.3,469094,210543,0.1279,0.285,131093576.1276,292079100.2313
서대문구,대학/의료/주거,전문용역/컨설팅,1,268992000.0,268992000.0,2026-04-21 16:28:43,0.0,0.0007140893902541037,0.9677419354838709,19.38,데이터부족,5.0,301916,146385,0.0331,0.0683,8909498.0061,18375653.2432
중구,도심/관광/명동,IT장비/전산,38,10131591590.0,266620831.31578946,2024-12-23 18:46:27,0.3394495412844037,0.02861567102186662,0.058252427184466014,19.0,추천,9.9,120892,61208,3.1433,6.2083,838069648.1157,1655272446.4122
강남구,업무지구/고소득/IT,의료/복지용품,7,187127500.0,26732500.0,2026-04-15 15:52:53,0.05504587155963303,0.00048249233426116714,0.8108108108108107,18.98,데이터부족,4.7,524942,236215,0.1333,0.2963,3564727.1508,7921914.3577
구로구,산업/디지털/제조,조경/녹지관리,1,98824000.0,98824000.0,2026-04-20 13:25:35,0.0,0.00023267915963880617,0.9375,18.76,데이터부족,29.0,401907,189742,0.0249,0.0527,2458877.3025,5208335.5293
강남구,업무지구/고소득/IT,기타/미분류,16,5749586000.0,359349125.0,2026-03-30 13:44:57,0.13761467889908258,0.01621884951817954,0.5660377358490566,18.69,제외,11.1,524942,236215,0.3048,0.6773,109528024.0484,243404779.5441
노원구,주거/교육/대학,폐기물/환경,24,79915730000.0,3329822083.3333335,2024-12-03 13:56:02,0.21100917431192662,0.22603703206065145,0.05607476635514019,18.45,제외,19.8,505069,221187,0.4752,1.0851,1582273511.144,3613039193.081
용산구,외국인/관광/개발,전문용역/컨설팅,10,1260354000.0,126035400.0,2026-04-09 16:37:52,0.08256880733944955,0.0035186813760754243,0.6976744186046512,18.19,추천,6.1,225797,112084,0.4429,0.8922,55818013.5254,112447271.6891
강남구,업무지구/고소득/IT,보험/금융,5,771540804.0,154308160.8,2026-04-15 08:47:30,0.03669724770642202,0.002135814600805335,0.7894736842105263,17.69,데이터부족,5.8,524942,236215,0.0952,0.2117,14697639.0535,32662650.7207
영등포구,오피스/금융/교통,차량/운송,4,229226920.0,57306730.0,2026-04-16 07:52:02,0.027522935779816515,0.0006015928201984189,0.8108108108108107,17.61,데이터부족,9.0,382246,191627,0.1046,0.2087,5996842.8708,11962141.0344
서초구,법조/교육/고소득,행사/운영용역,8,3517290000.0,439661250.0,2026-04-10 08:33:29,0.06422018348623854,0.009903619086126475,0.6976744186046512,17.46,데이터부족,11.2,446718,203147,0.1791,0.3938,78736249.7146,173140139.8987
도봉구,주거/자연/교육,건설/공사,10,1786130400.0,178613040.0,2026-04-07 09:31:23,0.08256880733944955,0.005006118132551853,0.6521739130434783,17.32,제외,8.9,313149,141362,0.3193,0.7074,57037716.8696,126351523.0401
성북구,대학/문화/주거,전문용역/컨설팅,3,349755000.0,116585000.0,2026-04-15 18:00:17,0.01834862385321101,0.0009425702706498494,0.8108108108108107,17.16,데이터부족,12.7,432127,198654,0.0694,0.151,8093801.1279,17606239.9952
강북구,주거/서민/교육,청소/환경미화,2,400000000.0,200000000.0,2026-04-17 10:39:53,0.009174311926605505,0.0010847148397654623,0.8333333333333334,17.16,데이터부족,15.5,297441,139082,0.0672,0.1438,13448045.1585,28760012.0792
중구,도심/관광/명동,인쇄/홍보물,8,1106209200.0,138276150.0,2026-04-09 09:50:51,0.06422018348623854,0.0030826012451686214,0.6818181818181818,16.94,데이터부족,12.2,120892,61208,0.6617,1.307,91503920.855,180729512.482
종로구,공공기관/전통상권/관광,IT장비/전산,8,3030945340.0,378868167.5,2026-04-07 15:36:37,0.06422018348623854,0.00852773587113236,0.6666666666666666,16.8,데이터부족,13.2,141990,66939,0.5634,1.1951,213461887.4569,452792145.0873
강북구,주거/서민/교육,폐기물/환경,20,81036863840.0,4051843192.0,2024-12-18 18:29:58,0.1743119266055046,0.22920875236332303,0.057692307692307696,16.75,제외,8.1,297441,139082,0.6724,1.438,2724468511.0661,5826552957.2482
성북구,대학/문화/주거,보험/금융,1,45003260.0,45003260.0,2026-04-16 11:13:28,0.0,8.041871786781536e-05,0.8333333333333334,16.67,데이터부족,5.0,432127,198654,0.0231,0.0503,1041435.9667,2265409.2039
강동구,주거/강변/문화,의료/복지용품,1,24816000.0,24816000.0,2026-04-17 08:53:28,0.0,2.330837108057588e-05,0.8333333333333334,16.67,데이터부족,11.0,461012,204387,0.0217,0.0489,538294.014,1214167.2416
용산구,외국인/관광/개발,기타/미분류,13,2486862800.0,191297138.46153846,2026-03-27 17:01:38,0.11009174311926606,0.006988510511163642,0.5357142857142857,16.43,제외,13.2,225797,112084,0.5757,1.1598,110137105.4531,221874915.2421
종로구,공공기관/전통상권/관광,건설/공사,3,179223000.0,59741000.0,2026-04-13 15:05:22,0.01834862385321101,0.00046013027342776356,0.7692307692307692,16.32,제외,6.3,141990,66939,0.2113,0.4482,12622226.9174,26774077.8918
강서구,공항/산업단지/주거,조경/녹지관리,6,652873720.0,108812286.66666667,2026-04-09 13:59:23,0.045871559633027525,0.0018001019622664507,0.6976744186046512,16.3,데이터부족,6.0,571154,259024,0.1051,0.2316,11430782.591,25205143.9249
도봉구,주거/자연/교육,보험/금융,1,185000000.0,185000000.0,2026-04-16 10:32:12,0.0,0.0004764735747668201,0.8108108108108107,16.23,데이터부족,8.0,313149,141362,0.0319,0.0707,5907730.8246,13086968.2093
마포구,홍대/관광/문화콘텐츠,행사/운영용역,5,862404400.0,172480880.0,2026-04-10 14:57:55,0.03669724770642202,0.0023928703616116864,0.7142857142857143,16.19,데이터부족,10.0,369048,181726,0.1355,0.2751,23368353.1682,47456302.3453
양천구,교육/주거/신도시,청소/환경미화,7,1652467930.0,236066847.14285713,2026-04-06 16:03:28,0.05504587155963303,0.00462798311006049,0.6521739130434783,15.93,데이터부족,6.0,455390,201874,0.1537,0.3468,36286873.4491,81856402.0131
서초구,법조/교육/고소득,전문용역/컨설팅,5,1528497000.0,305699400.0,2026-04-09 16:18:42,0.03669724770642202,0.004277265736636033,0.6976744186046512,15.92,데이터부족,12.0,446718,203147,0.1119,0.2461,34216149.7858,75240933.905
영등포구,오피스/금융/교통,시설유지보수,25,21532418502.0,861296740.08,2025-10-29 10:54:05,0.22018348623853212,0.060868942570636124,0.14634146341463417,15.76,추천,13.3,382246,191627,0.654,1.3046,563313115.1667,1123663079.9418
마포구,홍대/관광/문화콘텐츠,IT장비/전산,5,1640371120.0,328074224.0,2026-04-07 17:52:32,0.03669724770642202,0.00459376088207515,0.6666666666666666,15.31,데이터부족,14.8,369048,181726,0.1355,0.2751,44448719.9497,90266176.5515
서대문구,대학/의료/주거,사무용품/소모품,11,2060417000.0,187310636.36363637,2026-03-27 10:27:44,0.09174311926605505,0.00578208291653407,0.5263157894736842,15.29,추천,9.7,301916,146385,0.3643,0.7514,68244710.4493,140753287.5636
강서구,공항/산업단지/주거,전문용역/컨설팅,3,428173930.0,142724643.33333334,2026-04-10 17:15:53,0.01834862385321101,0.0011644197087105005,0.7142857142857143,15.24,데이터부족,21.7,571154,259024,0.0525,0.1158,7496645.9134,16530280.2057
중구,도심/관광/명동,차량/운송,5,424318000.0,84863600.0,2026-04-06 18:05:31,0.03669724770642202,0.0011535111703805181,0.6521739130434783,14.91,데이터부족,5.0,120892,61208,0.4136,0.8169,35098931.2775,69323944.5824
은평구,주거/문화/뉴타운,IT장비/전산,13,5088175720.0,391398132.3076923,2026-03-16 17:02:41,0.11009174311926606,0.01434770056287579,0.44776119402985076,14.89,추천,12.5,469094,210543,0.2771,0.6175,108468147.5355,241669194.4163
서대문구,대학/의료/주거,청소/환경미화,10,2451211920.0,245121192.0,2026-03-25 14:07:51,0.08256880733944955,0.006887653132793806,0.5172413793103449,14.68,추천,5.4,301916,146385,0.3312,0.6831,81188539.8588,167449664.9247
성북구,대학/문화/주거,행사/운영용역,4,1695661000.0,423915250.0,2026-04-06 15:37:41,0.027522935779816515,0.004750177563716187,0.6521739130434783,14.56,데이터부족,7.8,432127,198654,0.0926,0.2014,39239876.2401,85357506.0155
광진구,대학/강변/상업,건설/공사,6,8343595574.0,1390599262.3333333,2026-03-31 16:48:19,0.045871559633027525,0.02355737819124163,0.5769230769230769,14.54,제외,13.8,342481,162039,0.1752,0.3703,243622144.7029,514912803.3375
용산구,외국인/관광/개발,건설/공사,6,2688922240.0,448153706.6666667,2026-04-02 17:13:55,0.045871559633027525,0.007560142554840467,0.6000000000000001,14.52,제외,25.2,225797,112084,0.2657,0.5353,119085826.6496,239902416.0451
금천구,제조/산업단지/중소기업,기타/미분류,12,2373600000.0,197800000.0,2026-03-19 07:31:37,0.10091743119266056,0.0066680867495390456,0.46153846153846145,14.48,제외,15.0,229348,113402,0.5232,1.0582,103493381.2372,209308477.8046
성동구,성수/브랜드/라이프스타일,방역/소독,2,223952680.0,111976340.0,2026-04-09 10:41:16,0.009174311926605505,0.0005866718415495518,0.6818181818181818,14.11,데이터부족,5.5,281402,128887,0.0711,0.1552,7958460.8496,17375893.6122
서대문구,대학/의료/주거,건설/공사,20,26409443528.0,1320472176.4,2025-10-29 18:01:19,0.1743119266055046,0.0746661884834002,0.14634146341463417,13.88,제외,10.8,301916,146385,0.6624,1.3663,874728186.9129,1804108585.4425
관악구,청년/자취생/대학가,IT장비/전산,11,2613370500.0,237579136.36363637,2026-03-16 13:58:16,0.09174311926605505,0.00734640448083838,0.44776119402985076,13.76,추천,11.9,487305,243890,0.2257,0.451,53629051.6206,107153655.3364
도봉구,주거/자연/교육,폐기물/환경,14,76680854472.0,5477203890.857142,2024-12-10 10:20:37,0.11926605504587157,0.21688547492919158,0.05671077504725898,13.6,제외,16.6,313149,141362,0.4471,0.9904,2448701879.0416,5424431917.4884
동대문구,전통시장/패션/대학,사무용품/소모품,10,3112500000.0,311250000.0,2026-03-17 22:10:02,0.08256880733944955,0.008758456380736706,0.45454545454545453,13.48,추천,16.2,342289,165897,0.2922,0.6028,90931931.7886,187616412.5934
동대문구,전통시장/패션/대학,행사/운영용역,12,3295043000.0,274586916.6666667,2026-03-09 11:07:11,0.10091743119266056,0.009274875846953669,0.4054054054054054,13.43,추천,11.2,342289,165897,0.3506,0.7233,96264939.8608,198619806.2653
금천구,제조/산업단지/중소기업,시설유지보수,7,2936424000.0,419489142.85714287,2026-03-23 17:59:18,0.05504587155963303,0.008260332245965073,0.5,13.0,데이터부족,18.1,229348,113402,0.3052,0.6173,128033555.9935,258939348.5124
용산구,외국인/관광/개발,인쇄/홍보물,5,1876848600.0,375369720.0,2026-03-27 17:02:03,0.03669724770642202,0.005262762563837434,0.5357142857142857,12.71,데이터부족,16.4,225797,112084,0.2214,0.4461,83121060.0672,167450180.222
금천구,제조/산업단지/중소기업,조경/녹지관리,6,1450750000.0,241791666.66666666,2026-03-23 16:52:57,0.045871559633027525,0.004057317208125106,0.5,12.42,데이터부족,27.7,229348,113402,0.2616,0.5291,63255402.2708,127929842.5072
광진구,대학/강변/상업,교육물품/교구,3,342366000.0,114122000.0,2026-03-30 14:29:21,0.01834862385321101,0.0009216665743378729,0.5660377358490566,12.27,데이터부족,11.0,342481,162039,0.0876,0.1851,9996642.1495,21128617.1848
강서구,공항/산업단지/주거,IT장비/전산,15,5956159780.0,397077318.6666667,2026-01-22 13:52:22,0.12844036697247707,0.016803252761262103,0.25,11.93,추천,13.1,571154,259024,0.2626,0.5791,104282904.0854,229946251.3126
금천구,제조/산업단지/중소기업,행사/운영용역,8,1539629200.0,192453650.0,2026-03-11 20:35:52,0.06422018348623854,0.004308759054823094,0.4166666666666667,11.67,데이터부족,9.4,229348,113402,0.3488,0.7055,67130700.9435,135767376.2368
강북구,주거/서민/교육,건설/공사,10,61853843000.0,6185384300.0,2025-08-18 10:17:37,0.08256880733944955,0.1749394274227792,0.1079136690647482,11.53,제외,35.9,297441,139082,0.3362,0.719,2079533184.7324,4447293179.5631
금천구,제조/산업단지/중소기업,차량/운송,4,1493878870.0,373469717.5,2026-03-24 09:57:47,0.027522935779816515,0.004179330038110046,0.5,11.5,데이터부족,7.0,229348,113402,0.1744,0.3527,65135901.3377,131733026.7544
중랑구,주거/제조/서민,차량/운송,5,536151550.0,107230310.0,2026-03-20 10:59:51,0.03669724770642202,0.0014698915421074432,0.47619047619047616,11.4,데이터부족,5.8,388558,177294,0.1287,0.282,13798494.6906,30240817.5122
양천구,교육/주거/신도시,행사/운영용역,19,5116150200.0,269271063.15789473,2025-10-13 14:57:01,0.1651376146788991,0.014426841181958949,0.13574660633484165,11.4,추천,11.3,455390,201874,0.4172,0.9412,112346564.4832,253432844.2494
서초구,법조/교육/고소득,기타/미분류,22,4856939000.0,220769954.54545453,2024-12-17 17:21:31,0.1926605504587156,0.013693525143866781,0.05758157389635316,11.2,제외,9.6,446718,203147,0.4925,1.083,108724945.0436,239084948.3379
강남구,업무지구/고소득/IT,급수/전기/설비,17,3773891900.0,221993641.17647058,2025-12-02 15:43:56,0.14678899082568808,0.01062955333848487,0.17543859649122806,11.17,추천,8.4,524942,236215,0.3238,0.7197,71891597.5479,159765124.9921
강동구,주거/강변/문화,폐기물/환경,10,62690243810.0,6269024381.0,2024-12-11 16:45:04,0.08256880733944955,0.17730562968659452,0.05692599620493359,10.59,제외,23.4,461012,204387,0.2169,0.4893,1359839739.7465,3067232446.7799
금천구,제조/산업단지/중소기업,건설/공사,5,3005744000.0,601148800.0,2026-03-12 22:45:35,0.03669724770642202,0.008456440545917192,0.4225352112676056,10.54,제외,31.8,229348,113402,0.218,0.4409,131056037.1139,265052115.483
관악구,청년/자취생/대학가,조경/녹지관리,2,450020000.0,225010000.0,2026-03-23 18:11:45,0.009174311926605505,0.0012262228773246813,0.5,10.5,데이터부족,7.5,487305,243890,0.041,0.082,9234873.4366,18451761.0398
용산구,외국인/관광/개발,IT장비/전산,16,5791548000.0,361971750.0,2025-10-29 20:57:15,0.13761467889908258,0.016337561238932437,0.14634146341463417,10.3,추천,10.8,225797,112084,0.7086,1.4275,256493576.0883,516714963.7772
동대문구,전통시장/패션/대학,인쇄/홍보물,4,2487790000.0,621947500.0,2026-03-13 14:32:32,0.027522935779816515,0.006991133586981813,0.4285714285714286,10.16,데이터부족,12.2,342289,165897,0.1169,0.2411,72680980.1075,149959914.8869
양천구,교육/주거/신도시,전문용역/컨설팅,3,1042631000.0,347543666.6666667,2026-03-17 10:48:03,0.01834862385321101,0.002902736664729846,0.44776119402985076,9.96,데이터부족,15.7,455390,201874,0.0659,0.1486,22895342.4537,51647611.8767
중랑구,주거/제조/서민,행사/운영용역,4,587002000.0,146750500.0,2026-03-10 17:31:59,0.027522935779816515,0.0016137489469155838,0.410958904109589,9.64,데이터부족,12.8,388558,177294,0.1029,0.2256,15107191.2044,33108960.2581
서대문구,대학/의료/주거,행사/운영용역,2,334976000.0,167488000.0,2026-03-17 14:58:23,0.009174311926605505,0.0009007600489967568,0.45454545454545453,9.58,데이터부족,12.0,301916,146385,0.0662,0.1366,11095006.5581,22883218.909
성동구,성수/브랜드/라이프스타일,행사/운영용역,15,4740278300.0,316018553.3333333,2025-10-15 17:44:33,0.12844036697247707,0.013363488624128981,0.136986301369863,9.56,추천,9.0,281402,128887,0.533,1.1638,168452189.3945,367785602.8925
