district,district_profile,item_category,bid_count,amount_sum,amount_mean,latest_posted_date,count_score,amount_score,recency_score,opportunity_score,recommendation_flag,avg_lead_time_days
금천구,제조/산업단지/중소기업,건설/공사,5,3005744000.0,601148800.0,2026-03-12 22:45:35,0.03669724770642202,0.008456440545917192,0.4225352112676056,10.54,제외,31.8
관악구,청년/자취생/대학가,조경/녹지관리,2,450020000.0,225010000.0,2026-03-23 18:11:45,0.009174311926605505,0.0012262228773246813,0.5,10.5,데이터부족,7.5
용산구,외국인/관광/개발,IT장비/전산,16,5791548000.0,361971750.0,2025-10-29 20:57:15,0.13761467889908258,0.016337561238932437,0.14634146341463417,10.3,추천,10.8
동대문구,전통시장/패션/대학,인쇄/홍보물,4,2487790000.0,621947500.0,2026-03-13 14:32:32,0.027522935779816515,0.006991133586981813,0.4285714285714286,10.16,데이터부족,12.2
양천구,교육/주거/신도시,전문용역/컨설팅,3,1042631000.0,347543666.6666667,2026-03-17 10:48:03,0.01834862385321101,0.002902736664729846,0.44776119402985076,9.96,데이터부족,15.7
중랑구,주거/제조/서민,행사/운영용역,4,587002000.0,146750500.0,2026-03-10 17:31:59,0.027522935779816515,0.0016137489469155838,0.410958904109589,9.64,데이터부족,12.8
서대문구,대학/의료/주거,행사/운영용역,2,334976000.0,167488000.0,2026-03-17 14:58:23,0.009174311926605505,0.0009007600489967568,0.45454545454545453,9.58,데이터부족,12.0
성동구,성수/브랜드/라이프스타일,행사/운영용역,15,4740278300.0,316018553.3333333,2025-10-15 17:44:33,0.12844036697247707,0.013363488624128981,0.136986301369863,9.56,추천,9.0
관악구,청년/자취생/대학가,행사/운영용역,18,3381849000.0,187880500.0,2024-12-18 17:49:53,0.1559633027522936,0.009520452550439585,0.057692307692307696,9.24,추천,12.4
광진구,대학/강변/상업,방역/소독,1,149072900.0,149072900.0,2026-03-17 17:24:48,0.0,0.0003748347619680633,0.45454545454545453,9.1,데이터부족,7.0
