city,district,item_category,target_age_ratio,consumer_fit_score
강원특별자치도,양구군,방역/소독,0.575,0.96
강원특별자치도,양구군,폐기물/환경,0.455,0.9545
강원특별자치도,양구군,조경/녹지관리,0.455,0.9545
강원특별자치도,양구군,의료/복지용품,0.333,0.734
강원특별자치도,양구군,시설유지보수,0.42,0.4444
강원특별자치도,양구군,차량/운송,0.42,0.4444
강원특별자치도,양구군,전문용역/컨설팅,0.42,0.4444
강원특별자치도,양구군,경비/보안,0.42,0.4444
강원특별자치도,양구군,건설/공사,0.42,0.4444
강원특별자치도,양구군,급수/전기/설비,0.42,0.4444
강원특별자치도,양구군,보험/금융,0.42,0.4444
강원특별자치도,양구군,청소/환경미화,0.42,0.4444
강원특별자치도,양구군,IT장비/전산,0.365,0.2683
강원특별자치도,양구군,인쇄/홍보물,0.365,0.2683
강원특별자치도,양구군,행사/운영용역,0.365,0.2683
강원특별자치도,양구군,사무용품/소모품,0.365,0.2683
강원특별자치도,양구군,기타/미분류,0.365,0.2683
강원특별자치도,양구군,급식/식자재,0.367,0.1734
강원특별자치도,양구군,교육물품/교구,0.247,0.1552
강원특별자치도,양양군,방역/소독,0.575,0.96
강원특별자치도,양양군,폐기물/환경,0.455,0.9545
강원특별자치도,양양군,조경/녹지관리,0.455,0.9545
강원특별자치도,양양군,의료/복지용품,0.333,0.734
강원특별자치도,양양군,시설유지보수,0.42,0.4444
강원특별자치도,양양군,차량/운송,0.42,0.4444
강원특별자치도,양양군,전문용역/컨설팅,0.42,0.4444
강원특별자치도,양양군,경비/보안,0.42,0.4444
강원특별자치도,양양군,건설/공사,0.42,0.4444
강원특별자치도,양양군,급수/전기/설비,0.42,0.4444
강원특별자치도,양양군,보험/금융,0.42,0.4444
강원특별자치도,양양군,청소/환경미화,0.42,0.4444
강원특별자치도,양양군,IT장비/전산,0.365,0.2683
강원특별자치도,양양군,인쇄/홍보물,0.365,0.2683
강원특별자치도,양양군,행사/운영용역,0.365,0.2683
강원특별자치도,양양군,사무용품/소모품,0.365,0.2683
강원특별자치도,양양군,기타/미분류,0.365,0.2683
강원특별자치도,양양군,급식/식자재,0.367,0.1734
강원특별자치도,양양군,교육물품/교구,0.247,0.1552
강원특별자치도,영월군,방역/소독,0.575,0.96
강원특별자치도,영월군,폐기물/환경,0.455,0.9545
강원특별자치도,영월군,조경/녹지관리,0.455,0.9545
강원특별자치도,영월군,의료/복지용품,0.333,0.734
강원특별자치도,영월군,시설유지보수,0.42,0.4444
강원특별자치도,영월군,차량/운송,0.42,0.4444
강원특별자치도,영월군,전문용역/컨설팅,0.42,0.4444
강원특별자치도,영월군,경비/보안,0.42,0.4444
강원특별자치도,영월군,건설/공사,0.42,0.4444
강원특별자치도,영월군,급수/전기/설비,0.42,0.4444
강원특별자치도,영월군,보험/금융,0.42,0.4444
강원특별자치도,영월군,청소/환경미화,0.42,0.4444
강원특별자치도,영월군,IT장비/전산,0.365,0.2683
강원특별자치도,영월군,인쇄/홍보물,0.365,0.2683
강원특별자치도,영월군,행사/운영용역,0.365,0.2683
강원특별자치도,영월군,사무용품/소모품,0.365,0.2683
강원특별자치도,영월군,기타/미분류,0.365,0.2683
강원특별자치도,영월군,급식/식자재,0.367,0.1734
강원특별자치도,영월군,교육물품/교구,0.247,0.1552
강원특별자치도,원주시,방역/소독,0.575,0.96
강원특별자치도,원주시,폐기물/환경,0.455,0.9545
강원특별자치도,원주시,조경/녹지관리,0.455,0.9545
강원특별자치도,원주시,의료/복지용품,0.333,0.734
강원특별자치도,원주시,시설유지보수,0.42,0.4444
강원특별자치도,원주시,차량/운송,0.42,0.4444
강원특별자치도,원주시,전문용역/컨설팅,0.42,0.4444
강원특별자치도,원주시,경비/보안,0.42,0.4444
강원특별자치도,원주시,건설/공사,0.42,0.4444
강원특별자치도,원주시,급수/전기/설비,0.42,0.4444
강원특별자치도,원주시,보험/금융,0.42,0.4444
강원특별자치도,원주시,청소/환경미화,0.42,0.4444
강원특별자치도,원주시,IT장비/전산,0.365,0.2683
강원특별자치도,원주시,인쇄/홍보물,0.365,0.2683
강원특별자치도,원주시,행사/운영용역,0.365,0.2683
강원특별자치도,원주시,사무용품/소모품,0.365,0.2683
강원특별자치도,원주시,기타/미분류,0.365,0.2683
강원특별자치도,원주시,급식/식자재,0.367,0.1734
강원특별자치도,원주시,교육물품/교구,0.247,0.1552
강원특별자치도,인제군,방역/소독,0.575,0.96
강원특별자치도,인제군,폐기물/환경,0.455,0.9545
강원특별자치도,인제군,조경/녹지관리,0.455,0.9545
강원특별자치도,인제군,의료/복지용품,0.333,0.734
강원특별자치도,인제군,시설유지보수,0.42,0.4444
강원특별자치도,인제군,차량/운송,0.42,0.4444
강원특별자치도,인제군,전문용역/컨설팅,0.42,0.4444
강원특별자치도,인제군,경비/보안,0.42,0.4444
강원특별자치도,인제군,건설/공사,0.42,0.4444
강원특별자치도,인제군,급수/전기/설비,0.42,0.4444
강원특별자치도,인제군,보험/금융,0.42,0.4444
강원특별자치도,인제군,청소/환경미화,0.42,0.4444
강원특별자치도,인제군,IT장비/전산,0.365,0.2683
강원특별자치도,인제군,인쇄/홍보물,0.365,0.2683
강원특별자치도,인제군,행사/운영용역,0.365,0.2683
강원특별자치도,인제군,사무용품/소모품,0.365,0.2683
강원특별자치도,인제군,기타/미분류,0.365,0.2683
강원특별자치도,인제군,급식/식자재,0.367,0.1734
강원특별자치도,인제군,교육물품/교구,0.247,0.1552
강원특별자치도,정선군,방역/소독,0.575,0.96
강원특별자치도,정선군,폐기물/환경,0.455,0.9545
강원특별자치도,정선군,조경/녹지관리,0.455,0.9545
강원특별자치도,정선군,의료/복지용품,0.333,0.734
강원특별자치도,정선군,시설유지보수,0.42,0.4444
강원특별자치도,정선군,차량/운송,0.42,0.4444
강원특별자치도,정선군,전문용역/컨설팅,0.42,0.4444
강원특별자치도,정선군,경비/보안,0.42,0.4444
강원특별자치도,정선군,건설/공사,0.42,0.4444
강원특별자치도,정선군,급수/전기/설비,0.42,0.4444
강원특별자치도,정선군,보험/금융,0.42,0.4444
강원특별자치도,정선군,청소/환경미화,0.42,0.4444
강원특별자치도,정선군,IT장비/전산,0.365,0.2683
강원특별자치도,정선군,인쇄/홍보물,0.365,0.2683
강원특별자치도,정선군,행사/운영용역,0.365,0.2683
강원특별자치도,정선군,사무용품/소모품,0.365,0.2683
강원특별자치도,정선군,기타/미분류,0.365,0.2683
강원특별자치도,정선군,급식/식자재,0.367,0.1734
강원특별자치도,정선군,교육물품/교구,0.247,0.1552
강원특별자치도,철원군,방역/소독,0.575,0.96
강원특별자치도,철원군,폐기물/환경,0.455,0.9545
강원특별자치도,철원군,조경/녹지관리,0.455,0.9545
강원특별자치도,철원군,의료/복지용품,0.333,0.734
강원특별자치도,철원군,시설유지보수,0.42,0.4444
