C:\Users\user\AppData\Local\Programs\Python\Python313\Lib\site-packages\requests\__init__.py:113: RequestsDependencyWarning: urllib3 (2.6.3) or chardet (7.4.3)/charset_normalizer (3.4.6) doesn't match a supported version!
  warnings.warn(
조회 대상: 5,566건 (기존 캐시 6건 제외)
  5050/5566 / confirmed=3994, ambiguous=822, unresolved=234
  5100/5566 / confirmed=4031, ambiguous=830, unresolved=239
  5150/5566 / confirmed=4066, ambiguous=832, unresolved=252
  5200/5566 / confirmed=4107, ambiguous=835, unresolved=258
  5250/5566 / confirmed=4138, ambiguous=838, unresolved=274
  5300/5566 / confirmed=4171, ambiguous=846, unresolved=283
  5350/5566 / confirmed=4208, ambiguous=852, unresolved=290
  5400/5566 / confirmed=4246, ambiguous=857, unresolved=297
  5450/5566 / confirmed=4284, ambiguous=859, unresolved=307
  5500/5566 / confirmed=4310, ambiguous=860, unresolved=330
  5550/5566 / confirmed=4331, ambiguous=862, unresolved=357
  5566/5566 / confirmed=4331, ambiguous=862, unresolved=373

[OK] 확정 캐시 → school_city_map_neis.csv (4,337건)
[OK] 동명이교 → ambiguous_schools.csv (862건)
[OK] 미해결  → unresolved_schools.csv (373건)

완료: 확정 4331, 동명이교 862, 미해결 373
