city,district,district_profile,item_category,bid_count,amount_sum,amount_mean,latest_posted_date,count_score,amount_score,recency_score,competition_score,opportunity_score,recommendation_flag,avg_lead_time_days,rank
서울특별시,영등포구,오피스/금융/교통,차량/운송,4,229226920.0,57306730.0,2026-04-16 07:52:02,0.0026714158504007,1.894242584339812e-05,0.5084745762711864,1.0,27.73,데이터부족,9.0,2
서울특별시,영등포구,오피스/금융/교통,시설유지보수,25,21532418502.0,861296740.08,2025-10-29 10:54:05,0.0213713268032057,0.0017793557611084,0.131578947368421,1.0,22.87,추천,13.3,3
전라남도,영암군,전국 주요 지역,폐기물/환경,10,712524801.0,71252480.1,2026-05-06 15:22:16,0.0132743362831858,5.888029296264375e-05,0.7692307692307692,1.0,32.07,제외,-2.5,1
전라남도,영암군,전국 주요 지역,시설유지보수,14,387047960.0,27646282.85714286,2026-04-27 15:07:52,0.0191740412979351,3.1984146016264235e-05,0.625,0.929,28.72,추천,0.9,2
광주광역시,영암군,전국 주요 지역,폐기물/환경,10,568806700.0,56880670.0,2026-02-05 17:39:32,0.0080142475512021,4.700398510776134e-05,0.2325581395348837,1.0,23.81,제외,5.2,3
경상북도,영양군,전국 주요 지역,건설/공사,40,950595004.0,23764875.1,2026-04-17 18:25:48,0.0575221238938053,7.85534935005659e-05,0.5172413793103449,1.0,30.06,제외,3.5,1
경상북도,영양군,전국 주요 지역,시설유지보수,2,3276000.0,1638000.0,2026-04-27 11:09:54,0.0014749262536873,2.707159659213335e-07,0.625,1.0,29.43,데이터부족,15.0,2
부산광역시,영양군,전국 주요 지역,급식/식자재,5,208091000.0,41618200.0,2026-04-17 15:13:33,0.0035618878005342,1.719583518453486e-05,0.5172413793103449,1.0,27.9,데이터부족,13.4,3
강원특별자치도,영월군,전국 주요 지역,폐기물/환경,105,18045021420.0,171857346.85714287,2026-05-06 15:20:30,0.0926090828138913,0.0014911707581765,0.7692307692307692,1.0,35.28,제외,5.3,1
강원특별자치도,영월군,전국 주요 지역,차량/운송,27,1959936960.0,72590257.77777778,2026-05-13 10:02:04,0.0231522707034728,0.0001619616078361,0.9375,1.0,34.99,추천,5.9,2
강원특별자치도,영월군,전국 주요 지역,기타/미분류,57,17955504856.0,315008857.122807,2026-05-08 16:24:32,0.0498664292074799,0.0014837734556462,0.8108108108108107,0.982,33.83,제외,6.6,3
부산광역시,영주시,전국 주요 지역,시설유지보수,4,265163400.0,66290850.0,2026-05-14 15:23:13,0.0026714158504007,2.1912077520752417e-05,0.9677419354838708,1.0,34.62,데이터부족,5.2,1
대구광역시,영주시,전국 주요 지역,급수/전기/설비,2,152820000.0,76410000.0,2026-05-13 17:25:45,0.0008904719501335,1.2628453575121543e-05,0.9375,1.0,34.1,데이터부족,5.0,2
경상북도,영주시,전국 주요 지역,시설유지보수,8,164726000.0,20590750.0,2026-04-27 10:41:48,0.0103244837758112,1.3612319353589003e-05,0.625,1.0,29.79,데이터부족,8.8,3
경상북도,영천시,전국 주요 지역,건설/공사,27,7083146000.0,262338740.74074075,2026-04-29 09:19:11,0.0383480825958702,0.0005853237824028,0.6521739130434783,0.926,29.85,제외,4.2,1
경상북도,영천시,전국 주요 지역,시설유지보수,20,503663890.0,25183194.5,2026-04-15 16:22:53,0.0280235988200589,4.162083531167468e-05,0.5,1.0,28.62,추천,0.4,2
경상북도,영천시,전국 주요 지역,IT장비/전산,2,10685430.0,5342715.0,2026-04-17 15:23:18,0.0014749262536873,8.830025957676418e-07,0.5172413793103449,1.0,27.82,데이터부족,1.0,3
부산광역시,예산군,전국 주요 지역,차량/운송,1,32832000.0,32832000.0,2026-05-14 09:30:04,0.0,2.7131094606621552e-06,0.9677419354838708,1.0,34.52,데이터부족,6.0,1
충청남도,예산군,전국 주요 지역,건설/공사,40,530229000.0,13255725.0,2026-05-06 16:07:06,0.0347284060552092,4.381607322787019e-05,0.7692307692307692,1.0,32.93,제외,0.0,2
강원특별자치도,예산군,전국 주요 지역,IT장비/전산,3,533642000.0,177880666.66666666,2026-05-08 13:08:39,0.0017809439002671,4.409811034377053e-05,0.8108108108108107,1.0,32.23,데이터부족,11.3,3
부산광역시,예천군,전국 주요 지역,시설유지보수,1,173860000.0,173860000.0,2026-05-14 15:24:29,0.0,1.4367117776276872e-05,0.9677419354838708,1.0,34.52,데이터부족,4.0,1
경상북도,예천군,전국 주요 지역,시설유지보수,15,400004400.0,26666960.0,2026-04-27 11:06:26,0.0206489675516224,3.3054816092424736e-05,0.625,1.0,30.2,추천,3.3,2
경상북도,예천군,전국 주요 지역,의료/복지용품,2,216216000.0,108108000.0,2026-04-16 10:09:55,0.0014749262536873,1.786725375080801e-05,0.5084745762711864,1.0,27.69,데이터부족,7.5,3
경기도,오산시,전국 주요 지역,기타/미분류,11,12598886856.0,1145353350.5454545,2026-05-14 13:42:19,0.0089047195013357,0.0010411232676299,0.9677419354838708,1.0,34.9,제외,3.5,1
경기도,오산시,전국 주요 지역,행사/운영용역,14,1454101620.0,103864401.42857143,2026-05-08 10:14:02,0.0115761353517364,0.0001201613322973,0.8108108108108107,1.0,32.63,추천,7.6,2
인천광역시,오산시,전국 주요 지역,시설유지보수,4,2823744000.0,705936000.0,2026-04-03 15:54:48,0.0026714158504007,0.0002333432797541,0.4166666666666667,1.0,26.36,데이터부족,5.2,3
충청북도,옥천군,전국 주요 지역,폐기물/환경,26,1227230000.0,47201153.84615385,2026-05-11 14:05:18,0.0222617987533392,0.0001014135393338,0.8823529411764706,1.0,34.13,제외,2.1,1
