school_name,city
전주삼천초등학교,전라북도
전주서신초등학교,전라북도
전주인봉초등학교,전라북도
전주화산초등학교,전라북도
샘고을중학교,전라북도
내장초등학교,전라북도
정읍동초등학교,전라북도
전주용흥중학교,전라북도
전주만수초등학교,전라북도
나주상업고등학교,전라남도
순천공업고등학교,전라남도
순천효천고등학교,전라남도
강진중학교,전라남도
구례북초등학교,전라남도
목포서해초등학교,전라남도
고양국제고등학교,경기도
전주자연초등학교,전라북도
배정고등학교,부산광역시
성원고등학교,전라북도
양현고등학교,전라북도
장성고등학교,전라남도
건국대학교사범대학부속고등학교,서울특별시
상명고등학교,서울특별시
청량고등학교,서울특별시
청원여자고등학교,서울특별시
서일문화예술고등학교,서울특별시
신서고등학교,서울특별시
동아고등학교,부산광역시
주양초등학교,부산광역시
청란여자고등학교,대전광역시
행신고등학교,경기도
완산여자고등학교,전라북도
원광보건고등학교,전라북도
전주기전여자고등학교,전라북도
군산구암초등학교,전라북도
동국대학교사범대학부속금산중학교,전라북도
전주신일중학교,전라북도
전주덕진초등학교,전라북도
전주동신초등학교,전라북도
전주인후초등학교,전라북도
전주풍남초등학교,전라북도
정읍수성초등학교,전라북도
전주은화학교,전라북도
전주용소초등학교,전라북도
강진여자중학교,전라남도
광영초등학교,전라남도
목포이로초등학교,전라남도
목포애향초등학교,전라남도
순천팔마고등학교,전라남도
전주교육대학교군산부설초등학교,전라북도
오룡초등학교,전라남도
전주온빛중학교,전라북도
목포부주초등학교,전라남도
전주새연초등학교,전라북도
대연고등학교,부산광역시
완산고등학교,전라북도
녹동고등학교,전라남도
창평고등학교,전라남도
영동일고등학교,서울특별시
대경생활과학고등학교,서울특별시
세일고등학교,인천광역시
진건고등학교,경기도
속초해랑중학교,강원특별자치도
군산동고등학교,전라북도
군산여자상업고등학교,전라북도
전주해성고등학교,전라북도
군산서해초등학교,전라북도
군산수송초등학교,전라북도
당북초등학교,전라북도
한들중학교,전라북도
이리북중학교,전라북도
이리모현초등학교,전라북도
이리부천초등학교,전라북도
익산초등학교,전라북도
서전주중학교,전라북도
전주서신중학교,전라북도
전주금암초등학교,전라북도
전주반월초등학교,전라북도
전주장동초등학교,전라북도
전주효문초등학교,전라북도
전주효자초등학교,전라북도
정일중학교,전라북도
전주용와초등학교,전라북도
순천미래과학고등학교,전라남도
녹동중학교,전라남도
목포유달중학교,전라남도
목포제일중학교,전라남도
목포항도여자중학교,전라남도
목포용호초등학교,전라남도
여도중학교,전라남도
목포옥암중학교,전라남도
남악중학교,전라남도
목포애향중학교,전라남도
목포영산초등학교,전라남도
전주온빛초등학교,전라북도
전주하가초등학교,전라북도
익산가온초등학교,전라북도
무안행복초등학교,전라남도
이리남성여자고등학교,전라북도
언남고등학교,서울특별시
광양중진초등학교,전라남도
매성고등학교,전라남도
오류고등학교,서울특별시
한가람고등학교,서울특별시
인덕과학기술고등학교,서울특별시
기장고등학교,부산광역시
브니엘예술고등학교,부산광역시
호평고등학교,경기도
설온중학교,강원특별자치도
우석고등학교,전라북도
원광여자고등학교,전라북도
전주생명과학고등학교,전라북도
진경여자고등학교,전라북도
군산중학교,전라북도
군산동초등학교,전라북도
군산월명초등학교,전라북도
남원한빛중학교,전라북도
원광여자중학교,전라북도
이리남중학교,전라북도
이리영등중학교,전라북도
익산지원중학교,전라북도
이리동남초등학교,전라북도
이리동북초등학교,전라북도
이리부송초등학교,전라북도
익산어양초등학교,전라북도
이리영등초등학교,전라북도
전주기린중학교,전라북도
전라중학교,전라북도
전주동중학교,전라북도
전주풍남중학교,전라북도
전주금평초등학교,전라북도
전주삼천남초등학교,전라북도
전주신동초등학교,전라북도
전주아중초등학교,전라북도
전주양지초등학교,전라북도
전주한들초등학교,전라북도
전주평화중학교,전라북도
익산어양중학교,전라북도
익산부송중학교,전라북도
익산한벌초등학교,전라북도
목포한빛초등학교,전라남도
순천세빛중학교,전라남도
순천남산초등학교,전라남도
목포하당중학교,전라남도
순천왕운초등학교,전라남도
전주오송중학교,전라북도
전주화정초등학교,전라북도
전주양현초등학교,전라북도
전주만성중학교,전라북도
함열여자고등학교,전라북도
동인고등학교,부산광역시
도초고등학교,전라남도
강서고등학교,서울특별시
둔촌고등학교,서울특별시
마포고등학교,서울특별시
은평메디텍고등학교,서울특별시
혜성여자고등학교,서울특별시
한성과학고등학교,서울특별시
예일디자인고등학교,서울특별시
개원중학교,서울특별시
구룡중학교,서울특별시
건국고등학교,부산광역시
사직여자고등학교,부산광역시
금명여자고등학교,부산광역시
명호고등학교,부산광역시
백양고등학교,경기도
병점고등학교,경기도
신길고등학교,경기도
강일여자고등학교,강원특별자치도
동해광희고등학교,강원특별자치도
영랑초등학교,강원특별자치도
군산기계공업고등학교,전라북도
이리여자고등학교,전라북도
군산산북중학교,전라북도
부안동초등학교,전라북도
창북초등학교,전라북도
원광중학교,전라북도
이리백제초등학교,전라북도
이리송학초등학교,전라북도
이리초등학교,전라북도
전주덕진중학교,전라북도
전주솔빛중학교,전라북도
전주양지중학교,전라북도
전주완산서초등학교,전라북도
전주우전초등학교,전라북도
전주중산초등학교,전라북도
전주중앙초등학교,전라북도
전주선화학교,전라북도
익산궁동초등학교,전라북도
전주여울초등학교,전라북도
전주아중중학교,전라북도
전주대정초등학교,전라북도
군산금강중학교,전라북도
익산부천중학교,전라북도
구례고등학교,전라남도
목포마리아회고등학교,전라남도
함평고등학교,전라남도
목포중앙여자중학교,전라남도
목포서부초등학교,전라남도
목포하당초등학교,전라남도
순천이수중학교,전라남도
목포미항초등학교,전라남도
정관고등학교,부산광역시
부곡고등학교,경기도
전주우림중학교,전라북도
다솜학교,전라북도
군산미장초등학교,전라북도
광양와우초등학교,전라남도
우신중학교,서울특별시
